name,domain,platform,best_guess,why_unsure,search
Ogio,ogio.com,custom,ogio.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Ogio+bags+official+site
Ortlieb,ortlieb.com,custom,ortlieb.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Ortlieb+bags+official+site
Outlander,,unreachable,outlander.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Outlander+bags+official+site
Packolab,packolab.com,custom,packolab.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Packolab+bags+official+site
Pacsafe,pacsafe.com,shopify,pacsafe.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Pacsafe+bags+official+site
Patagonia,patagonia.com,custom,patagonia.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Patagonia+bags+official+site
Piorama,piorama.co,shopify,piorama.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Piorama+bags+official+site
Porter,ll-porter.com,custom,portergear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Porter+bags+official+site
Portland Gear,portlandgear.com,shopify,portlandgear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Portland+Gear+bags+official+site
Property Of,thepropertyof.com,shopify,propertyof.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Property+Of+bags+official+site
PROSPECS,,custom,prospecs.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=PROSPECS+bags+official+site
Quechua,,custom,quechua.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Quechua+bags+official+site
Rab,rab.equipment,custom,rab.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Rab+bags+official+site
Rangeland,,custom,rangeland.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Rangeland+bags+official+site
RAWROW,rawrow.com,shopify,rawrow.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=RAWROW+bags+official+site
Red Oxx,redoxx.com,shopify,redoxx.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Red+Oxx+bags+official+site
REI Co-op,,unreachable,reicoop.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=REI+Co-op+bags+official+site
Remote Equipment,remoteeq.com,custom,,no candidate resolved in DNS,https://duckduckgo.com/?q=Remote+Equipment+bags+official+site
Rework Gear,reworkgear.com,shopify,reworkgear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Rework+Gear+bags+official+site
Salkan,,custom,salkan.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Salkan+bags+official+site
Salomon,salomon.com,custom,salomon.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Salomon+bags+official+site
Samsonite,shop.samsonite.com,custom,samsonite.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Samsonite+bags+official+site
Sherpani,sherpani.com,shopify,sherpani.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Sherpani+bags+official+site
Simond,simond.com,custom,simond.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Simond+bags+official+site
Snow Peak,snowpeak.com,shopify,snowpeak.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Snow+Peak+bags+official+site
Solgaard,solgaard.co,shopify,solgaard.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Solgaard+bags+official+site
Stio,stio.com,shopify,stio.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Stio+bags+official+site
Stubble & Co,stubbleandco.com,shopify,,no candidate resolved in DNS,https://duckduckgo.com/?q=Stubble+%26+Co+bags+official+site
SwissGear,swissgear.com,shopify,swissgear.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=SwissGear+bags+official+site
Tatonka,tatonka.com,custom,tatonka.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Tatonka+bags+official+site
The Brown Buffalo,thebrownbuffalo.com,shopify,thebrownbuffalo.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=The+Brown+Buffalo+bags+official+site
Thule,thule.com,custom,thule.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Thule+bags+official+site
Tobiq,tobiq.com,shopify,tobiq.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Tobiq+bags+official+site
Tomtoc,tomtoc.com,shopify,tomtoc.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Tomtoc+bags+official+site
Tropicfeel,shop.tropicfeel.com,shopify,tropicfeel.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Tropicfeel+bags+official+site
Troubadour,troubadourgoods.com,custom,troubadour.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Troubadour+bags+official+site
Uniqlo,uniqlo.com,custom,uniqlo.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Uniqlo+bags+official+site
United by Blue,unitedbyblue.com,shopify,unitedbyblue.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=United+by+Blue+bags+official+site
Vaude,vaude.com,custom,vaude.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Vaude+bags+official+site
Vertx,vertx.com,shopify,vertx.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Vertx+bags+official+site
Wave,waveproducts.com,shopify,wave.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Wave+bags+official+site
Waymark,,custom,waymark.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Waymark+bags+official+site
Wilboro,,shopify,wilboro.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Wilboro+bags+official+site
Yeti,yeti.com,custom,yeti.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Yeti+bags+official+site
YNOT,ynotmade.com,shopify,ynot.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=YNOT+bags+official+site
Zeeksack,zeeksack.com,custom,zeeksack.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Zeeksack+bags+official+site
Zorali,zorali.com,shopify,zorali.com,DNS resolves — not yet verified,https://duckduckgo.com/?q=Zorali+bags+official+site
